DateTime,EUR/HUF,USD/HUF,GBP/HUF
2024-06-05,392.9909973144531,361.1499938964844,461.260009765625
2024-06-06,390.35400390625,359.02801513671875,459.260009765625
2024-06-07,389.5450134277344,357.6730041503906,457.5199890136719
2024-06-10,390.0889892578125,362.19000244140625,460.67999267578125
2024-06-11,392.7969970703125,364.9649963378906,464.4100036621094
2024-06-12,394.99700927734375,367.7900085449219,468.5
2024-06-13,394.7659912109375,365.17999267578125,467.2300109863281
2024-06-14,396.7179870605469,369.3900146484375,471.260009765625
2024-06-17,397.8429870605469,371.79998779296875,471.45001220703125
2024-06-18,395.510009765625,368.2799987792969,468.17999267578125
2024-06-19,393.8039855957031,366.7170104980469,465.9700012207031
2024-06-20,395.9289855957031,368.4200134277344,468.6099853515625
2024-06-21,396.5769958496094,370.4320068359375,468.9599914550781
2024-06-24,396.04400634765625,370.5780029296875,468.29998779296875
2024-06-25,394.85699462890625,367.82000732421875,466.5799865722656
2024-06-26,395.56500244140625,369.29998779296875,468.489990234375
2024-06-27,396.7099914550781,371.4649963378906,468.82000732421875
2024-06-28,396.2090148925781,370.07000732421875,467.8800048828125
2024-07-01,394.6159973144531,367.55999755859375,464.92999267578125
2024-07-02,394.5119934082031,367.45599365234375,464.6300048828125
2024-07-03,394.59100341796875,367.13299560546875,465.80999755859375
2024-07-04,394.7799987792969,365.7900085449219,465.69000244140625
2024-07-05,392.89599609375,363.4490051269531,463.55999755859375
2024-07-08,392.5249938964844,362.5899963378906,464.32000732421875
2024-07-09,394.5320129394531,364.2900085449219,466.82000732421875
2024-07-10,393.8909912109375,364.2690124511719,465.75
2024-07-11,393.26800537109375,363.0899963378906,466.57000732421875
2024-07-12,393.5329895019531,361.9930114746094,467.7099914550781
2024-07-15,392.0929870605469,360.3900146484375,467.04998779296875
2024-07-16,391.0639953613281,358.9700012207031,465.3500061035156
2024-07-17,391.9419860839844,359.5169982910156,466.5199890136719
